0.0075935 3846, 0.0151869 3807, 0.0228952 3771, 
0.0080209 3846, 0.0156559 3807, 0.0234849 3771, 
0.0079522 3846, 0.0157485 3807, 0.0235385 3771, 
0.0079404 3846, 0.0157438 3807, 0.0234363 3771, 
0.0078423 3846, 0.0157192 3807, 0.0234161 3771, 
0.0079038 3846, 0.0159063 3807, 0.0237079 3771, 
0.0077602 3846, 0.0155631 3807, 0.0231076 3771, 
0.0080112 3846, 0.0159331 3807, 0.0236136 3771, 
0.0079054 3846, 0.0158105 3807, 0.0236095 3771, 
0.0078025 3846, 0.0158693 3807, 0.0235201 3771, 
